instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_stop_at_stall,beta_lag_max_iter,beta_lag_max_time,beta_vs_master,beta_vs_bks,beta_status
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,311.0,1.8598,TIE,2744.0,2799,1.9649874955341193,0,3,STALL_STOP_3,970.0013772000093,2799.2509,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n130_017_a25_049,B,130,0.25,017,3062.0,3061.0,462.0,0.409943,GAP,3062.0,3073,0.35795639440286364,0,3,STALL_STOP_3,946.661108299857,3073.8712,2,600,0,3,200,60.0,1.0,0.0,TIE
B_n130_019_a25_055,B,130,0.25,019,3359.0,3359.0,401.0,1.521593,TIE,3359.0,3410,1.4956011730205279,0,3,STALL_STOP_3,911.8529194998555,3410.8117,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n140_021_a25_061,B,140,0.25,021,3142.0,3142.0,1258.0,1.649607,TIE,3142.0,3195,1.6588419405320816,0,3,STALL_STOP_3,989.9892132999375,3195.9311,2,600,0,3,200,60.0,0.0,0.0,TIE
B_n140_023_a25_067,B,140,0.25,023,3781.0,3781.0,2103.0,0.630749,TIE,3781.0,3798,0.44760400210637175,0,3,STALL_STOP_3,950.5588704999536,3798.2270,2,600,0,3,200,60.0,0.0,0.0,TIE
C_n070_022_a50_065,C,70,0.5,022,,2052.0,698.0,1.203659,NA,2052.0,2060,0.3883495145631068,0,3,STALL_STOP_3,912.0219643998425,2060.6269,2,600,0,3,200,60.0,0.0,,NA
D_n055_019_a25_055,D,55,0.25,019,1147.0,1147.0,513.0,1.256887,TIE,1147.0,1157,0.864304235090752,0,3,STALL_STOP_3,903.7951615999918,1157.4316,2,600,0,3,200,60.0,0.0,0.0,TIE
D_n060_022_a50_065,D,60,0.5,022,1778.0,1777.0,944.0,0.914464,GAP,1777.0,1790,0.7262569832402235,0,3,STALL_STOP_3,913.6834178001154,1790.6440,2,600,0,3,200,60.0,0.0,-1.0,GAP
D_n065_030_a50_089,D,65,0.5,030,,2337.0,1399.0,0.890585,NA,2337.0,2348,0.46848381601362865,0,3,STALL_STOP_3,936.0752469999716,2348.9960,2,600,0,3,200,60.0,0.0,,NA
D_n070_032_a75_096,D,70,0.75,032,,2105.0,1713.0,0.142315,NA,2098.0,2106,0.3798670465337132,0,3,STALL_STOP_3,950.5927475001663,2106.2402,1,600,0,3,200,60.0,-7.0,,NA
D_n075_039_a50_116,D,75,0.5,039,,3071.0,2795.0,0.711284,NA,3071.0,3082,0.3569110966904607,0,3,STALL_STOP_3,927.8309190999717,3082.1909,1,600,0,3,200,60.0,0.0,,NA
D_n075_040_a25_118,D,75,0.25,040,,1820.0,1581.0,1.097707,NA,1820.0,1828,0.437636761487965,0,3,STALL_STOP_3,967.2371771000326,1828.1919,2,600,0,3,200,60.0,0.0,,NA
D_n080_044_a50_131,D,80,0.5,044,,3261.0,2652.0,0.760803,NA,3252.0,3272,0.6112469437652812,0,3,STALL_STOP_3,927.5346074998379,3272.6514,2,600,0,3,200,60.0,-9.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1564.0,1.200083,NA,1910.0,1923,0.6760270410816432,0,3,STALL_STOP_3,965.7137556001544,1923.6036,2,600,0,3,200,60.0,0.0,,NA
EB_n140_022_a50_065,EB,140,0.5,022,4503.0,4898.0,3926.0,1.75509,BEAT,4900.0,4925,0.5076142131979695,0,3,STALL_STOP_3,987.3605605999473,4925.3699,3,600,0,3,200,60.0,2.0,397.0,BEAT
EB_n150_026_a25_076,EB,150,0.25,026,2550.0,2550.0,890.0,0.747314,TIE,2550.0,2560,0.390625,0,3,STALL_STOP_3,995.2966519000474,2560.7120,2,600,0,3,200,60.0,0.0,0.0,TIE
EB_n150_027_a25_079,EB,150,0.25,027,,2770.0,990.0,1.060828,NA,2771.0,2792,0.7521489971346704,0,3,STALL_STOP_3,985.1309067001566,2792.1164,2,600,0,3,200,60.0,1.0,,NA
EC_n070_023_a50_068,EC,70,0.5,023,2206.0,2206.0,532.0,0.545512,TIE,2206.0,2217,0.49616599007668016,0,3,STALL_STOP_3,911.8385258999187,2217.3209,2,600,0,3,200,60.0,0.0,0.0,TIE
EC_n075_030_a50_089,EC,75,0.5,030,,2456.0,412.0,0.437814,NA,2456.0,2465,0.36511156186612576,0,3,STALL_STOP_3,909.5495831000153,2465.4618,2,600,0,3,200,60.0,0.0,,NA
EC_n080_033_a25_097,EC,80,0.25,033,,1806.0,773.0,0.430036,NA,1806.0,1812,0.33112582781456956,0,3,STALL_STOP_3,914.1236838998739,1812.5036,2,600,0,3,200,60.0,0.0,,NA
ED_n050_014_a50_041,ED,50,0.5,014,1787.0,1787.0,767.0,1.139633,TIE,1787.0,1797,0.5564830272676683,0,3,STALL_STOP_3,904.1983676999807,1797.6412,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n055_019_a50_056,ED,55,0.5,019,1897.0,1897.0,1104.0,0.877835,TIE,1897.0,1907,0.5243838489774515,0,3,STALL_STOP_3,905.4691802000161,1907.3690,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n060_022_a50_065,ED,60,0.5,022,1728.0,1737.0,775.0,1.764506,BEAT,1737.0,1766,1.6421291053227631,0,3,STALL_STOP_3,908.3414431998972,1766.6233,2,600,0,3,200,60.0,0.0,9.0,BEAT
ED_n060_025_a50_074,ED,60,0.5,025,2014.0,2014.0,1900.0,1.40983,TIE,2014.0,2033,0.9345794392523363,0,3,STALL_STOP_3,915.1588084998075,2033.7361,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n065_027_a75_081,ED,65,0.75,027,1972.0,1972.0,718.0,0.714933,TIE,1972.0,1982,0.5045408678102926,0,3,STALL_STOP_3,913.5307797999121,1982.9815,2,600,0,3,200,60.0,0.0,0.0,TIE
ED_n065_030_a25_088,ED,65,0.25,030,,1478.0,1018.0,1.117281,NA,1478.0,1489,0.7387508394895903,0,3,STALL_STOP_3,921.2008801000193,1489.5799,2,600,0,3,200,60.0,0.0,,NA
ED_n070_032_a75_096,ED,70,0.75,032,,2083.0,2033.0,0.941602,NA,2083.0,2094,0.5253104106972302,0,3,STALL_STOP_3,920.0884785000235,2094.8742,3,600,0,3,200,60.0,0.0,,NA
ED_n075_040_a25_118,ED,75,0.25,040,,1588.0,1207.0,0.929565,NA,1588.0,1597,0.5635566687539135,0,3,STALL_STOP_3,945.6677244999446,1597.3100,2,600,0,3,200,60.0,0.0,,NA
ED_n075_040_a75_120,ED,75,0.75,040,,2730.0,2649.0,0.745319,NA,2731.0,2740,0.3284671532846715,0,3,STALL_STOP_3,975.507219000021,2740.4875,2,600,0,3,200,60.0,1.0,,NA
ED_n080_045_a75_135,ED,80,0.75,045,,2932.0,2703.0,0.704416,NA,2933.0,2942,0.30591434398368456,0,3,STALL_STOP_3,962.9664036000613,2942.7119,2,600,0,3,200,60.0,1.0,,NA
